salary,salary25,salary50,salary75,sampleCount,isShowSalary,salaryThousand50,salaryThousand,originSampleCount,originTotalSampleCount,analyzeCode,desc,jobCount,jobUrl,job_code,salary_type
,,,,,,,,,,1,1年以下,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001000&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001000,月薪
,,,,,,,,,,2,1~3年,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001000&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001000,月薪
,,,,,,,,,,3,3~5年,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001000&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001000,月薪
,,,,,,,,,,4,5~10年,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001000&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001000,月薪
NaN,NaN,NaN,NaN,0.0,False,0.0,0.0,0.0,0.0,5,10年以上,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001000&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001000,月薪
43404.926,34000.0,40000.0,50000.0,226.0,True,40.0,43.0,226.0,2371.0,1,1年以下,9338,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001002,月薪
42616.945,35000.0,40000.0,47400.0,726.0,True,40.0,42.0,726.0,2371.0,2,1~3年,4257,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001002,月薪
43480.633,35000.0,40000.0,50000.0,459.0,True,40.0,43.0,459.0,2371.0,3,3~5年,1579,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001002,月薪
44162.836,35000.0,40500.0,50000.0,644.0,True,40.0,44.0,644.0,2371.0,4,5~10年,652,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001002,月薪
46587.992,36000.0,43000.0,52000.0,316.0,True,43.0,46.0,316.0,2371.0,5,10年以上,61,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001002,月薪
685541.4,510671.28,633672.1,826224.06,226.0,True,40.0,43.0,226.0,2371.0,1,1年以下,9338,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001002,年薪
673095.94,525691.06,633672.1,783260.4,726.0,True,40.0,42.0,726.0,2371.0,2,1~3年,4257,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=3&jobsource=salary_jobexp&order=2&page=1,2001001002,年薪
686737.1,525691.06,633672.1,826224.06,459.0,True,40.0,43.0,459.0,2371.0,3,3~5年,1579,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=5&jobsource=salary_jobexp&order=2&page=1,2001001002,年薪
697511.9,525691.06,641593.0,826224.06,644.0,True,40.0,44.0,644.0,2371.0,4,5~10年,652,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=10&jobsource=salary_jobexp&order=2&page=1,2001001002,年薪
735815.06,540710.75,681197.5,859273.0,316.0,True,43.0,46.0,316.0,2371.0,5,10年以上,61,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001002&jobexp=99&jobsource=salary_jobexp&order=2&page=1,2001001002,年薪
,,,,,,,,,,1,1年以下,0,https://www.104.com.tw/jobs/search/?ro=0&jobcat=2001001000&jobexp=1&jobsource=salary_jobexp&order=2&page=1,2001001000,年薪
